Designator,Package,Value,Quantity
"RI1-3, RL1-108m ",1206,360R,111
U1,LQFP-48,STM32F072CBT8,1
RPG,1206,10k,1
RRST,1206,100k,1
RGS,1206,100,1
"C7, CRST2, CUSB",805,4.7n,3
"CRST1, CB5",805,10u,2
"CRI, CRO, CB1-4",805,100n,6
D1-108,SOD-123,1N4148W,108
DF1,SOD-123,RB060M-60TR,1
DS33,SOD-123F,1N4007W,1
F1,1812,Fuse 1.5A trip,1
J1,-,TYPEC-31-M-12,1
Q1,SOIC-8,AO4406AL,1
QRST,SOT-23,DTC123J,1
R5,1206,1M,1
RCC,1206,5.1k,1
SWRST1,SMD Push Button,TS-1187A-B-A-B,1
U2,SOT-23,MCP1700-3302E,1
U3,SOT-23-6,USBLC6-2SC6,1